Gene1	Gene2
AAT1	SHR3_damp
AAT1	SLM1
AAT1	SMT3_damp
AAT1	SPO12
AAT1	SPP381_damp
AAT1	SRB2
AAT1	SSD1
AAT1	SSE2
AAT1	STV1
AAT1	SUS1
AAT1	SUV3
AAT1	SWF1
AAT1	TCO89
AAT1	TFP1
AAT1	TOM70
AAT1	TSA2
AAT1	TSC13_damp
AAT1	VMA9
AAT1	YBR141C
AAT1	YDR131C
AAT1	YNL122C
AAT1	YNR040W
AAT1	YOR214C
AAT1	YOR390W
AAT1	YPK9
AAT1	ala1-1
AAT1	cdc2-7
AAT1	cdc24-3
AAT1	cdc3-1
AAT1	cdc43-2
AAT1	gpi1-1
AAT1	lst8-15
AAT1	mak21-1
AAT1	med7-163
AAT1	rna15-58
AAT1	sam35-2
AAT1	scc2-4
AAT1	sec63-1
AAT1	yhc1-3
AAT2_damp	ABZ2
AAT2_damp	AFR1
AAT2_damp	AIM43
AAT2_damp	AIM46
AAT2_damp	APT2
AAT2_damp	AQY1
AAT2_damp	ATG22
AAT2_damp	ATG7
AAT2_damp	ATO2
AAT2_damp	ATP23
AAT2_damp	AVT5
AAT2_damp	AXL2
AAT2_damp	BAR1
AAT2_damp	CAM1
AAT2_damp	CAT5
AAT2_damp	CIN1
AAT2_damp	CIN2
AAT2_damp	CIT2
AAT2_damp	CLB6
AAT2_damp	CMK1
AAT2_damp	COQ2
AAT2_damp	COX10
AAT2_damp	CRH1
AAT2_damp	CRZ1
AAT2_damp	CSR2
AAT2_damp	CTK3
AAT2_damp	CYT2
AAT2_damp	DFG16
AAT2_damp	DMC1
AAT2_damp	DYN1
AAT2_damp	EAF1
AAT2_damp	ECM14
AAT2_damp	ECM21
AAT2_damp	ECM27
AAT2_damp	EFT1
AAT2_damp	ELG1
AAT2_damp	ELP2
AAT2_damp	FIT1
AAT2_damp	FMP23
AAT2_damp	GEM1
AAT2_damp	GLC8
AAT2_damp	GPB2
AAT2_damp	GRE3
AAT2_damp	GSH2
AAT2_damp	GTO3
AAT2_damp	IDS2
AAT2_damp	JEN1
AAT2_damp	JIP4
AAT2_damp	LSM12
AAT2_damp	MAD3
AAT2_damp	MET10
AAT2_damp	MFB1
AAT2_damp	MKS1
AAT2_damp	MLH3
AAT2_damp	MSH3
AAT2_damp	MSN1
AAT2_damp	MSP1
AAT2_damp	MUD1
AAT2_damp	MUP1
AAT2_damp	NVJ1
AAT2_damp	OCA2
AAT2_damp	OPT2
AAT2_damp	OST3
AAT2_damp	PAM1
AAT2_damp	PAU4
AAT2_damp	PCA1
AAT2_damp	PDE2
AAT2_damp	PFK26
AAT2_damp	PIB1
AAT2_damp	PMP3
AAT2_damp	PMT6
AAT2_damp	PNG1
AAT2_damp	PNT1
AAT2_damp	PPM2
AAT2_damp	PPQ1
AAT2_damp	PRS4
AAT2_damp	PTC3
AAT2_damp	QCR9
AAT2_damp	RAD30
AAT2_damp	RAD7
AAT2_damp	REC107
AAT2_damp	REI1
AAT2_damp	RGI1
AAT2_damp	RIT1
AAT2_damp	RMD11
AAT2_damp	RPL4A
AAT2_damp	RPL8A
AAT2_damp	RPL9B
AAT2_damp	RPS10A
AAT2_damp	RPS7B
AAT2_damp	RPS9A
AAT2_damp	RTF1
AAT2_damp	RVS161
AAT2_damp	SHC1
AAT2_damp	SKN7
AAT2_damp	SLA1
AAT2_damp	SNF5
AAT2_damp	SPG1
AAT2_damp	SPO16
AAT2_damp	SPT3
AAT2_damp	SRL1
AAT2_damp	SSD1
AAT2_damp	SUM1
AAT2_damp	TAZ1
AAT2_damp	TEA1
AAT2_damp	TGL5
AAT2_damp	TOP1
AAT2_damp	TRP4
AAT2_damp	UGA4
AAT2_damp	UPS3
AAT2_damp	VAM3
AAT2_damp	VEL1
